example_id,annotator,context,gold,baseline,suggestion,is_ill_defined,knowledge_level,k,rank,normalized_rank
1-42304_544e6956-8092-4102-8996-c9d4a7500a75,noy.sternlicht@mail.huji.ac.il,"The performance of large language models (LLMs) can be significantly enhanced through effective prompt optimization, yet existing methods may not fully leverage the potential of LLMs as prompt optimizers. There is a need for improved strategies that systematically analyze and refine task prompts to achieve better outcomes in various benchmarks.",gradient-based model optimizers,gpt-4o,genetic algorithms,False,3,1,2,1.0
1-42304_544e6956-8092-4102-8996-c9d4a7500a75,noy.sternlicht@mail.huji.ac.il,"The performance of large language models (LLMs) can be significantly enhanced through effective prompt optimization, yet existing methods may not fully leverage the potential of LLMs as prompt optimizers. There is a need for improved strategies that systematically analyze and refine task prompts to achieve better outcomes in various benchmarks.",gradient-based model optimizers,ours,the concept of prompt tuning,False,3,1,5,2.5
1-42304_544e6956-8092-4102-8996-c9d4a7500a75,noy.sternlicht@mail.huji.ac.il,"The performance of large language models (LLMs) can be significantly enhanced through effective prompt optimization, yet existing methods may not fully leverage the potential of LLMs as prompt optimizers. There is a need for improved strategies that systematically analyze and refine task prompts to achieve better outcomes in various benchmarks.",gradient-based model optimizers,mpnet_zero,prompt-engineering-based large language models,False,3,1,4,2.0
1-42304_544e6956-8092-4102-8996-c9d4a7500a75,noy.sternlicht@mail.huji.ac.il,"The performance of large language models (LLMs) can be significantly enhanced through effective prompt optimization, yet existing methods may not fully leverage the potential of LLMs as prompt optimizers. There is a need for improved strategies that systematically analyze and refine task prompts to achieve better outcomes in various benchmarks.",gradient-based model optimizers,random,Learning effective representations from raw data,False,3,1,6,3.0
1-42304_544e6956-8092-4102-8996-c9d4a7500a75,noy.sternlicht@mail.huji.ac.il,"The performance of large language models (LLMs) can be significantly enhanced through effective prompt optimization, yet existing methods may not fully leverage the potential of LLMs as prompt optimizers. There is a need for improved strategies that systematically analyze and refine task prompts to achieve better outcomes in various benchmarks.",gradient-based model optimizers,positive,gradient-based model optimizers,False,3,1,1,0.5
1-42304_544e6956-8092-4102-8996-c9d4a7500a75,noy.sternlicht@mail.huji.ac.il,"The performance of large language models (LLMs) can be significantly enhanced through effective prompt optimization, yet existing methods may not fully leverage the potential of LLMs as prompt optimizers. There is a need for improved strategies that systematically analyze and refine task prompts to achieve better outcomes in various benchmarks.",gradient-based model optimizers,sciIE,prompt-engineering-based large language models (LLMs),False,3,1,3,1.5
1-30868_92eac6d1-ca2e-40a8-9b84-255e46cb5372,noy.sternlicht@mail.huji.ac.il,"Automated Long Answer Grading (ALAG) presents unique challenges due to the complexity and multifaceted nature of fact-based long answers, which differ significantly from shorter answer formats. The traditional score-based approaches fail to capture the nuances of student responses, highlighting the need for a more effective method to evaluate long answers in educational settings.",a rubric entailment problem,positive,a rubric entailment problem,False,4,1,2,1.3333333333333333
1-30868_92eac6d1-ca2e-40a8-9b84-255e46cb5372,noy.sternlicht@mail.huji.ac.il,"Automated Long Answer Grading (ALAG) presents unique challenges due to the complexity and multifaceted nature of fact-based long answers, which differ significantly from shorter answer formats. The traditional score-based approaches fail to capture the nuances of student responses, highlighting the need for a more effective method to evaluate long answers in educational settings.",a rubric entailment problem,random,the flexibility of the Choquet integral,False,4,1,6,4.0
1-30868_92eac6d1-ca2e-40a8-9b84-255e46cb5372,noy.sternlicht@mail.huji.ac.il,"Automated Long Answer Grading (ALAG) presents unique challenges due to the complexity and multifaceted nature of fact-based long answers, which differ significantly from shorter answer formats. The traditional score-based approaches fail to capture the nuances of student responses, highlighting the need for a more effective method to evaluate long answers in educational settings.",a rubric entailment problem,sciIE,Automated Long Answer Grading (ALAG),False,4,1,4,2.6666666666666665
1-30868_92eac6d1-ca2e-40a8-9b84-255e46cb5372,noy.sternlicht@mail.huji.ac.il,"Automated Long Answer Grading (ALAG) presents unique challenges due to the complexity and multifaceted nature of fact-based long answers, which differ significantly from shorter answer formats. The traditional score-based approaches fail to capture the nuances of student responses, highlighting the need for a more effective method to evaluate long answers in educational settings.",a rubric entailment problem,gpt-4o,natural language processing techniques,False,4,1,5,3.333333333333333
1-30868_92eac6d1-ca2e-40a8-9b84-255e46cb5372,noy.sternlicht@mail.huji.ac.il,"Automated Long Answer Grading (ALAG) presents unique challenges due to the complexity and multifaceted nature of fact-based long answers, which differ significantly from shorter answer formats. The traditional score-based approaches fail to capture the nuances of student responses, highlighting the need for a more effective method to evaluate long answers in educational settings.",a rubric entailment problem,ours,evidence-centered design in educational assessments,False,4,1,1,0.6666666666666666
1-30868_92eac6d1-ca2e-40a8-9b84-255e46cb5372,noy.sternlicht@mail.huji.ac.il,"Automated Long Answer Grading (ALAG) presents unique challenges due to the complexity and multifaceted nature of fact-based long answers, which differ significantly from shorter answer formats. The traditional score-based approaches fail to capture the nuances of student responses, highlighting the need for a more effective method to evaluate long answers in educational settings.",a rubric entailment problem,mpnet_zero,automated essay scoring,False,4,1,3,2.0
1-37730_6df467e6-c5d7-4a07-9565-99147fcadcdb,noy.sternlicht@mail.huji.ac.il,"Existing methods for temporal relation extraction struggle with limited and unevenly distributed annotated data, highlighting a need for more effective approaches to understand task requests in crowdsourcing systems. This gap in research necessitates innovative solutions that can leverage abundant global knowledge to enhance performance in this area.",the abundant global knowledge stored within pre-trained language models,sciIE,relation extraction,False,4,1,6,4.0
1-37730_6df467e6-c5d7-4a07-9565-99147fcadcdb,noy.sternlicht@mail.huji.ac.il,"Existing methods for temporal relation extraction struggle with limited and unevenly distributed annotated data, highlighting a need for more effective approaches to understand task requests in crowdsourcing systems. This gap in research necessitates innovative solutions that can leverage abundant global knowledge to enhance performance in this area.",the abundant global knowledge stored within pre-trained language models,gpt-4o,transfer learning,False,4,1,3,2.0
1-37730_6df467e6-c5d7-4a07-9565-99147fcadcdb,noy.sternlicht@mail.huji.ac.il,"Existing methods for temporal relation extraction struggle with limited and unevenly distributed annotated data, highlighting a need for more effective approaches to understand task requests in crowdsourcing systems. This gap in research necessitates innovative solutions that can leverage abundant global knowledge to enhance performance in this area.",the abundant global knowledge stored within pre-trained language models,positive,the abundant global knowledge stored within pre-trained language models,False,4,1,1,0.6666666666666666
1-37730_6df467e6-c5d7-4a07-9565-99147fcadcdb,noy.sternlicht@mail.huji.ac.il,"Existing methods for temporal relation extraction struggle with limited and unevenly distributed annotated data, highlighting a need for more effective approaches to understand task requests in crowdsourcing systems. This gap in research necessitates innovative solutions that can leverage abundant global knowledge to enhance performance in this area.",the abundant global knowledge stored within pre-trained language models,mpnet_zero,Relation extraction models,False,4,1,5,3.333333333333333
1-37730_6df467e6-c5d7-4a07-9565-99147fcadcdb,noy.sternlicht@mail.huji.ac.il,"Existing methods for temporal relation extraction struggle with limited and unevenly distributed annotated data, highlighting a need for more effective approaches to understand task requests in crowdsourcing systems. This gap in research necessitates innovative solutions that can leverage abundant global knowledge to enhance performance in this area.",the abundant global knowledge stored within pre-trained language models,ours,Question answering over heterogeneous data,False,4,1,2,1.3333333333333333
1-37730_6df467e6-c5d7-4a07-9565-99147fcadcdb,noy.sternlicht@mail.huji.ac.il,"Existing methods for temporal relation extraction struggle with limited and unevenly distributed annotated data, highlighting a need for more effective approaches to understand task requests in crowdsourcing systems. This gap in research necessitates innovative solutions that can leverage abundant global knowledge to enhance performance in this area.",the abundant global knowledge stored within pre-trained language models,random,a supervised contrastive loss,False,4,1,4,2.6666666666666665
1-399_4303bb53-050b-41da-bdbd-0abe03f154ee,noy.sternlicht@mail.huji.ac.il,"The trustworthiness of retrieval-augmented language models is compromised by hallucinations, primarily due to the conflict between contextual and parametric knowledge. There is a need to align these models to respond based solely on external evidence, minimizing the influence of parametric knowledge to enhance their reliability in real-world applications.",aligning language models with human preference,positive,aligning language models with human preference,False,4,1,5,3.333333333333333
