criteria,baseline,Low,Med,High
sci_sense,random,18,2,0
sci_sense,ours,3,9,8
sci_sense,gpt-4o,2,9,9
sci_sense,sciIE,6,8,6
sci_sense,mpnet_zero,3,7,10
novelty,random,3,4,13
novelty,ours,5,7,8
novelty,gpt-4o,3,13,4
novelty,sciIE,13,6,1
novelty,mpnet_zero,13,4,3
specificity,random,2,13,5
specificity,ours,2,8,10
specificity,gpt-4o,3,17,0
specificity,sciIE,1,18,1
specificity,mpnet_zero,0,15,5
interest,random,17,3,0
interest,ours,6,8,6
interest,gpt-4o,5,10,5
interest,sciIE,17,2,1
interest,mpnet_zero,17,2,1
