context,anchor,relation,query,k,positive,id,arxiv_categories,random,mpnet_zero,sciIE,gpt-4o,ours
"The high demand for qualified tutors presents a challenge, often necessitating the training of novice tutors to ensure effective tutoring. Additionally, providing timely explanatory feedback to facilitate the training process is complicated by the time-consuming nature of assessing trainee performance by human experts.",an explanatory feedback system,inspiration,"Background: The high demand for qualified tutors presents a challenge, often necessitating the training of novice tutors to ensure effective tutoring. Additionally, providing timely explanatory feedback to facilitate the training process is complicated by the time-consuming nature of assessing trainee performance by human experts.
Contribution: 'an explanatory feedback system' inspired by ",1,recent advancements of large language models,1-327_6d14eaa3-b3dc-4204-8164-b91b21bf5915,"['cs.cl', ' cs.ai', ' cs.hc']",the cumulative sum statistic,build dialog tutoring models that scaffold students' problem-solving,AI tutors,intelligent tutoring systems,students' Intelligent Tutoring System performance metrics
"The rapid advancement of large language models has improved text understanding and generation but poses challenges in computational resources and scalability during training. Traditional random data shuffling may not effectively enhance performance, indicating a need for more structured training approaches to address these limitations.",training of large language models,inspiration,"Background: The rapid advancement of large language models has improved text understanding and generation but poses challenges in computational resources and scalability during training. Traditional random data shuffling may not effectively enhance performance, indicating a need for more structured training approaches to address these limitations.
Contribution: 'training of large language models' inspired by ",1,a curriculum learning process,1-39276_43781121-205c-457f-8985-5aa9fc712ef0,"['cs.cl', ' cs.ai']",a dynamic observation module,the training processes of large language models,Large Language Model,curriculum learning,knowledge transferring in multi-task learning
"The automated detection of stakeholder roles within news content remains an underexplored domain, despite existing works focusing on salient entity extraction and political affiliations through social media data. Recognizing the various types of news stakeholders and their roles is crucial for a nuanced comprehension of news narratives.",stakeholder classification,inspiration,"Background: The automated detection of stakeholder roles within news content remains an underexplored domain, despite existing works focusing on salient entity extraction and political affiliations through social media data. Recognizing the various types of news stakeholders and their roles is crucial for a nuanced comprehension of news narratives.
Contribution: 'stakeholder classification' inspired by ",1,a natural language inference task,1-5354_99c25e0f-0e43-4381-b22e-afb3e9f3ded5,"['cs.cl', ' cs.ir']",a more robust and efficient control mechanism for autonomous manipulation in robot arms,detecting specific instances of agenda control through social media,Complex news events,ontology-based frameworks,a named entity recognition problem
"The complexity of medical image recognition is heightened by the presence of varied pathological indications, which poses significant challenges in multi-label classification, particularly with unseen labels. Existing methods often rely on manual prompt construction by expert radiologists and struggle with generalizability in fine-grained scenarios, highlighting the need for more efficient and adaptable approaches.",medical image recognition,inspiration,"Background: The complexity of medical image recognition is heightened by the presence of varied pathological indications, which poses significant challenges in multi-label classification, particularly with unseen labels. Existing methods often rely on manual prompt construction by expert radiologists and struggle with generalizability in fine-grained scenarios, highlighting the need for more efficient and adaptable approaches.
Contribution: 'medical image recognition' inspired by ",1,text generation in natural language processing,1-16286_486004d5-f250-476c-8346-a56ced165a62,"['cs.cv', ' cs.cl']",3D hand poses at a high temporal resolution for fine-grained motion modeling,multi-label image classification,medical image classification,self-supervised learning,medical visual question answering (Med-VQA)
"Modern AI systems often achieve superhuman performance but lack essential human-like features such as generalization, interpretability, and human inter-operability. There is a need for AI agents to learn more interpretable and generalizable behaviors that can facilitate effective human-AI coordination.",AI agents,inspiration,"Background: Modern AI systems often achieve superhuman performance but lack essential human-like features such as generalization, interpretability, and human inter-operability. There is a need for AI agents to learn more interpretable and generalizable behaviors that can facilitate effective human-AI coordination.
Contribution: 'AI agents' inspired by ",1,the rich interactions between language and decision-making in humans,1-7599_d93e817d-dabb-4601-8609-10eebdd92a95,"['cs.lg', ' cs.ai', ' cs.cl']",visual tokens,replicating human-like cognitive processes in AI,AI agents,cognitive neuroscience,Humans can quickly learn new behaviors by leveraging background world knowledge
"This essay explores how literary concepts can advance design theory around AI writing tools, encouraging creators to engage with past writing innovations alongside new technological possibilities. It also addresses the need for a critical perspective on the concerns writers have historically expressed, which may inform the design of contemporary writing tools.",the design of AI writing tools,inspiration,"Background: This essay explores how literary concepts can advance design theory around AI writing tools, encouraging creators to engage with past writing innovations alongside new technological possibilities. It also addresses the need for a critical perspective on the concerns writers have historically expressed, which may inform the design of contemporary writing tools.
Contribution: 'the design of AI writing tools' inspired by ",1,avant-garde literature,1-5936_93733f00-5c88-4125-947d-5061e595fcfd,"['cs.hc', ' cs.cl']",LLM-based logits,Flower and Hayes' cognitive process theory of writing,writing systems,literary history,Flower and Hayes' cognitive process theory of writing
"Large language models (LLMs) struggle with increased context length and complexity, leading to challenges in task solving and question answering. Existing frameworks do not adequately address the need for models to dynamically adapt and decompose complex tasks into simpler sub-problems for improved performance.",model generation,inspiration,"Background: Large language models (LLMs) struggle with increased context length and complexity, leading to challenges in task solving and question answering. Existing frameworks do not adequately address the need for models to dynamically adapt and decompose complex tasks into simpler sub-problems for improved performance.
Contribution: 'model generation' inspired by ",1,a thread of execution,1-40634_3bb890a9-899a-427b-9c31-2ccf4c136df0,['cs.cl'],little human input,improve the performance of Large Language Models on complex reasoning and planning tasks,Large Language Model,cognitive psychology problem-solving strategies,complex task-solving processes
"Existing methods for early exiting in large language models require significant effort to train internal classifiers and can only achieve comparable performance at best, highlighting a need for more efficient approaches. Additionally, the high computational overhead associated with model inference presents a challenge that necessitates innovative solutions to accelerate inference while maintaining performance.",the early exiting problem,inspiration,"Background: Existing methods for early exiting in large language models require significant effort to train internal classifiers and can only achieve comparable performance at best, highlighting a need for more efficient approaches. Additionally, the high computational overhead associated with model inference presents a challenge that necessitates innovative solutions to accelerate inference while maintaining performance.
Contribution: 'the early exiting problem' inspired by ",1,a distribution prediction problem,1-7666_2a8784a6-8ba4-427a-83c8-f512ec6d752c,['cs.cl'],Vision-Language foundation models (VL-models),recent success of Large Language Models,few-shot capabilities of large language models,dynamic neural networks,a sequential decision-making problem
"Existing methods for controlled paraphrase generation often require detailed parse trees or syntactic exemplars, which do not align with human-like paraphrasing behavior. Additionally, there is an inference gap where control specifications are only available during training, limiting the model's ability to operate effectively during inference.",user intent,inspiration,"Background: Existing methods for controlled paraphrase generation often require detailed parse trees or syntactic exemplars, which do not align with human-like paraphrasing behavior. Additionally, there is an inference gap where control specifications are only available during training, limiting the model's ability to operate effectively during inference.
Contribution: 'user intent' inspired by ",1,"action tokens, embedding and concatenating them with text embeddings, thus flowing together into a self-attention encoder for representation fusion",1-31210_17837f1a-230e-45c4-bd83-f4394a1c55b6,"['cs.cl', ' cs.ai', ' cs.lg']",spatial priors embedded in a set of guide functions,an ensemble of a paraphrase LM for prompt (or instruction) rewriting,text paraphrasing,natural language processing techniques,a usual syntactic language model
"The need for an explainable approach to natural language inference is highlighted, as existing machine learning and deep learning solutions often lack transparency and explicitness. Additionally, the challenge of identifying entailment or contradiction relationships due to varying wordings in logical representations suggests a gap in current methodologies that this research aims to address.",propositional logic,inspiration,"Background: The need for an explainable approach to natural language inference is highlighted, as existing machine learning and deep learning solutions often lack transparency and explicitness. Additionally, the challenge of identifying entailment or contradiction relationships due to varying wordings in logical representations suggests a gap in current methodologies that this research aims to address.
Contribution: 'propositional logic' inspired by ",1,translating text into an Abstract Meaning Representation graph,1-39526_cf84a7a5-66bb-4598-b7c4-a78840132ec2,"['cs.ai', ' cs.cl']",machine learning behavior models,Natural Language Inference models,natural language inference,truth tables,Miller's cognitive model of explanation
