context,anchor,relation,query,k,positive,id,random,mpnet_zero,sciIE,gpt-4o,ours
Previous Vision-Language Navigation agents struggle with accurate modality alignment in unexplored scenes due to limited navigation data and insufficient open-world alignment knowledge. This highlights a need for improved methods that can effectively discover and utilize landmarks in diverse visual observations to enhance navigation performance.,Vision-Language Navigation,inspiration,"Background: Previous Vision-Language Navigation agents struggle with accurate modality alignment in unexplored scenes due to limited navigation data and insufficient open-world alignment knowledge. This highlights a need for improved methods that can effectively discover and utilize landmarks in diverse visual observations to enhance navigation performance.
Contribution: 'Vision-Language Navigation' inspired by ",2,an open-world sequential landmark discovery problem,2-11627_6ba48953-1382-4930-aa08-b68d70593f45,multi-modal sensors,training vision-and-language navigation agents,Vision Language Navigation in Continuous Environments (VLN-CE),cognitive mapping in animals,"Humans localize themselves efficiently in known environments by first recognizing landmarks defined on certain objects and their spatial relationships, and then verifying the location by aligning detailed structures of recognized objects with those in the memory"
"The proposed framework addresses the challenge of predicting spatiotemporal dynamics governed by partial differential equations without the need for large datasets from costly simulations or experiments. Additionally, it aims to efficiently handle arbitrary geometries and heterogeneous thermal conductivities, which are crucial for various engineering applications.",a loss function for operator learning,inspiration,"Background: The proposed framework addresses the challenge of predicting spatiotemporal dynamics governed by partial differential equations without the need for large datasets from costly simulations or experiments. Additionally, it aims to efficiently handle arbitrary geometries and heterogeneous thermal conductivities, which are crucial for various engineering applications.
Contribution: 'a loss function for operator learning' inspired by ",1,the finite element method,1-18834_0ab7ecf0-5126-412a-8881-f422f0048b09,hyperbolic geometry,Data-driven neural solvers for parametric partial differential equations,predictive physical modelling,Physics-informed neural networks (PINNs),the principles of Neural PDE solvers
"The ability of AI agents to conduct scientific research independently, without relying on human-generated knowledge, presents a significant challenge in the field of AI. There is a need to establish benchmarks that evaluate the capacity of AI to make groundbreaking discoveries across various scientific domains, as current capabilities have not yet demonstrated this level of autonomy and innovation.","assess whether an AI agent can conduct scientific research independently, without relying on human-generated knowledge",inspiration,"Background: The ability of AI agents to conduct scientific research independently, without relying on human-generated knowledge, presents a significant challenge in the field of AI. There is a need to establish benchmarks that evaluate the capacity of AI to make groundbreaking discoveries across various scientific domains, as current capabilities have not yet demonstrated this level of autonomy and innovation.
Contribution: 'assess whether an AI agent can conduct scientific research independently, without relying on human-generated knowledge' inspired by ",2,the historical development of science,2-22735_3288d418-d424-4a18-9672-cd80ab4e96c8,partial views,"AI's ability to analyze large datasets, navigate hypothesis spaces, and execute repetitive tasks",AI agents,evolutionary algorithms,the historical development of science
"Many researchers have observed that existing Deep Graph Networks perform well on node classification tasks primarily in homophilic settings, where adjacent nodes are similar. However, there is a need for methods that can effectively adapt to both heterophilic and homophilic settings to enhance performance across diverse graph structures.",Deep Graph Networks,inspiration,"Background: Many researchers have observed that existing Deep Graph Networks perform well on node classification tasks primarily in homophilic settings, where adjacent nodes are similar. However, there is a need for methods that can effectively adapt to both heterophilic and homophilic settings to enhance performance across diverse graph structures.
Contribution: 'Deep Graph Networks' inspired by ",1,opinion dynamics,1-908_85db3ddd-4f14-48a4-9837-9c3db0a4d1e0,physics-informed domain knowledge,the powerful classification ability of graph convolutional network,heterogeneous graph neural networks (HGNs),attention mechanisms,the vital role of subgraph in graph classification
"The need for effective coordination among multiple intelligent agents in artificial intelligence applications is critical, yet traditional methods of information sharing can be resource-intensive and limit communication flexibility. This highlights a gap in existing approaches, necessitating innovative solutions that can adaptively optimize communication structures to enhance collaborative efforts among agents.",while enabling the architecture parameters to update normally,inspiration,"Background: The need for effective coordination among multiple intelligent agents in artificial intelligence applications is critical, yet traditional methods of information sharing can be resource-intensive and limit communication flexibility. This highlights a gap in existing approaches, necessitating innovative solutions that can adaptively optimize communication structures to enhance collaborative efforts among agents.
Contribution: 'while enabling the architecture parameters to update normally' inspired by ",2,the task of determining the communication graph,2-18089_665b7df6-6f81-48d9-8923-8ae1193add44,a group-wise softmax formulation,multi-agent framework,AI-powered communication and collaboration technology,neural architecture search,multi-agent system principles
"Adversarial Training (AT) is highly effective for defending against adversarial examples but is extremely time-consuming, which limits its practical deployment. This study addresses the need for a defense method that maintains robustness against strong adversarial attacks without the drawbacks associated with AT.",Adversarial Training,inspiration,"Background: Adversarial Training (AT) is highly effective for defending against adversarial examples but is extremely time-consuming, which limits its practical deployment. This study addresses the need for a defense method that maintains robustness against strong adversarial attacks without the drawbacks associated with AT.
Contribution: 'Adversarial Training' inspired by ",1,the recent advances in test-time domain adaptation,1-7516_1be2c1b6-0b7e-4b99-8634-c26e97be8092,coalition negotiations,Adversarial examples,Adversarial training,curriculum learning,randomized smoothing in defense strategies
"The available human feedback in patent prosecution is limited, and the quality of generated patent text requires improvement. Additionally, there is a need for methods that can effectively utilize human feedback to enhance the usability of language models in this domain.",patent prosecution,inspiration,"Background: The available human feedback in patent prosecution is limited, and the quality of generated patent text requires improvement. Additionally, there is a need for methods that can effectively utilize human feedback to enhance the usability of language models in this domain.
Contribution: 'patent prosecution' inspired by ",1,a system of reinforcement learning from human feedback,1-10365_8e7726ec-b651-4be4-b038-702e4bd761fe,image-based conditioning through cross-attention,the evaluation of generated text,human expert proofreading,active learning techniques,a system of reinforcement learning from human feedback
"Large Language Models (LLMs) often struggle with complex reasoning tasks, such as answering mathematical questions, primarily due to difficulties in selecting the correct reasoning path. Existing methods to improve LLM performance in these areas rely on high-quality datasets or substantial computational resources, which can be challenging to obtain or implement.",reasoning tasks,inspiration,"Background: Large Language Models (LLMs) often struggle with complex reasoning tasks, such as answering mathematical questions, primarily due to difficulties in selecting the correct reasoning path. Existing methods to improve LLM performance in these areas rely on high-quality datasets or substantial computational resources, which can be challenging to obtain or implement.
Contribution: 'reasoning tasks' inspired by ",2,searching problems,2-16725_65af4768-fd4b-46a2-bc44-5cf25e2bcd5a,the local module,neural reasoning abilities of Large Language Models,large language model (LLM) responses,cognitive science of human problem-solving,"""query-to-answer"" problems"
The task of arbitrary modality salient object detection faces challenges due to diverse modality discrepancies arising from varying modality types and the need for dynamic fusion design to accommodate an uncertain number of modalities in multimodal inputs. These challenges necessitate effective strategies to process and integrate information from multiple modalities to enhance the detection of salient objects.,a modality-adaptive feature extractor,inspiration,"Background: The task of arbitrary modality salient object detection faces challenges due to diverse modality discrepancies arising from varying modality types and the need for dynamic fusion design to accommodate an uncertain number of modalities in multimodal inputs. These challenges necessitate effective strategies to process and integrate information from multiple modalities to enhance the detection of salient objects.
Contribution: 'a modality-adaptive feature extractor' inspired by ",2,prompt learning's ability of aligning the distributions of pre-trained models to the characteristic of downstream tasks by learning some prompts,2-27666_eba3d6bc-31f7-47f9-8cea-92aba2454e36,telemanipulation,a multi-modal feature aggregation module,salient object detection,attention mechanisms,the modality-shared and modality-specific prior networks for the disentanglement of latent variables
"Network interdiction problems present a bi-level optimization challenge that is difficult for current methodologies to manage, primarily due to the high time complexity of conventional exact solvers and the inefficiencies of heuristic solvers. This highlights a significant gap in existing approaches, necessitating the exploration of more effective solutions to improve performance in this domain.",Network interdiction problems,inspiration,"Background: Network interdiction problems present a bi-level optimization challenge that is difficult for current methodologies to manage, primarily due to the high time complexity of conventional exact solvers and the inefficiencies of heuristic solvers. This highlights a significant gap in existing approaches, necessitating the exploration of more effective solutions to improve performance in this domain.
Contribution: 'Network interdiction problems' inspired by ",2,Mixed-Integer Linear Programming instances,2-32990_cc7b439a-1915-435d-9c09-6dc439206dd4,color information from images,network flow optimization,Graph Transductive Defense (GTD),game theory,an integer program
