context,anchor,relation,query,k,positive,id,random,mpnet_zero,sciIE,gpt-4o,ours
"Adapting large language models (LLMs) to novel tasks remains challenging, particularly as colossal models have high computational demands that limit their widespread use, while smaller models struggle without context. This study addresses the need for improved generalization from labeled examples of predefined tasks to novel tasks, highlighting a gap in the ability of LLMs to effectively utilize contextual signals from different task examples.",Large Language Models,inspiration,"Background: Adapting large language models (LLMs) to novel tasks remains challenging, particularly as colossal models have high computational demands that limit their widespread use, while smaller models struggle without context. This study addresses the need for improved generalization from labeled examples of predefined tasks to novel tasks, highlighting a gap in the ability of LLMs to effectively utilize contextual signals from different task examples.
Contribution: 'Large Language Models' inspired by ",1,biological neurons and the mechanistic interpretation of the Transformer architecture,1-28664_3ba423e6-05ac-4bf2-8939-0ef4cf01710f,Image-goal navigation,the cross-task generality of Large Language Models on NLP tasks,fine-tuned large language models (LLMs),meta-learning techniques,the zero-shot ability of large language models to generalize to novel contexts
"The need for effective multistep ahead univariate probabilistic time series forecasting is critical for quantifying future uncertainties. Existing forecasting methods may not provide sharp and well-calibrated predictive distributions, highlighting a gap in the current research landscape that necessitates improved approaches.",an autoregressive model for multistep ahead univariate probabilistic time series forecasting,inspiration,"Background: The need for effective multistep ahead univariate probabilistic time series forecasting is critical for quantifying future uncertainties. Existing forecasting methods may not provide sharp and well-calibrated predictive distributions, highlighting a gap in the current research landscape that necessitates improved approaches.
Contribution: 'an autoregressive model for multistep ahead univariate probabilistic time series forecasting' inspired by ",2,the conditional VAE framework,2-17561_8ecc3799-0241-49f0-b695-fdd7bfb7c535,pseudo-labels informed by image-level classes and global semantics,the task of multivariate time series forecasting,long-term time series forecasting framework,Bayesian inference techniques,a variational autoencoder that encodes time series into an informative and smoothed latent content
"Existing methods for text-driven human motion generation often overfit specific motion expressions in the training data, which limits their ability to generalize to novel descriptions and restricts broader applicability. This challenge is exacerbated by the scarcity of available motion-text pairs, highlighting a significant gap in the ability to generate diverse and generalizable motion from text inputs.",text-to-motion generation,inspiration,"Background: Existing methods for text-driven human motion generation often overfit specific motion expressions in the training data, which limits their ability to generalize to novel descriptions and restricts broader applicability. This challenge is exacerbated by the scarcity of available motion-text pairs, highlighting a significant gap in the ability to generate diverse and generalizable motion from text inputs.
Contribution: 'text-to-motion generation' inspired by ",2,a Markov decision process,2-273_d1a6a346-7285-4999-b97f-60a7690f65ba,POD-Deep Operator Network,text-to-image generation,text-to-motion model,multimodal learning,Text-to-Video generation (T2V)
"Detecting and localizing objects of interest in embodied agents is challenging due to the high cost of supervision, such as bounding boxes, and the limitations of existing unsupervised methods that struggle with over-/under-segmentation and irrelevant objects. The absence of annotated boxes creates uncertainty in how to group pixels into objects, highlighting a significant gap in the ability to effectively identify mobile objects in various contexts.","Embodied agents must detect and localize objects of interest, e.g. traffic participants for self-driving cars",inspiration,"Background: Detecting and localizing objects of interest in embodied agents is challenging due to the high cost of supervision, such as bounding boxes, and the limitations of existing unsupervised methods that struggle with over-/under-segmentation and irrelevant objects. The absence of annotated boxes creates uncertainty in how to group pixels into objects, highlighting a significant gap in the ability to effectively identify mobile objects in various contexts.
Contribution: 'Embodied agents must detect and localize objects of interest, e.g. traffic participants for self-driving cars' inspired by ",1,human visual system and practical applications,1-19510_63f70c39-c2ff-4f05-9881-ede8f1c825cf,a novel camera and storyboard interface,object detectors,unsupervised instance detection,biological vision systems,Object detection as part of computer vision
"Existing methods for pose estimation often require expensive human annotation of contact points and specialized models, which can be limiting. Additionally, there is a need for a unified framework that effectively resolves both self-contact and person-to-person contact in pose estimation tasks.",pose estimation,inspiration,"Background: Existing methods for pose estimation often require expensive human annotation of contact points and specialized models, which can be limiting. Additionally, there is a need for a unified framework that effectively resolves both self-contact and person-to-person contact in pose estimation tasks.
Contribution: 'pose estimation' inspired by ",2,language is often used to describe physical interaction,2-29468_e80e98c7-02f4-4eae-acff-f4492c597e47,a surface defect feature extraction module based on a deformable convolution operator,the rapid advance in human pose estimation,3D human pose estimation,graph neural networks,"a shortest-path problem in a graph of convex sets, where a path in the graph corresponds to a contact sequence"
"The existing self-supervised learning methods, such as SimSiam, exhibit high sensitivity to hyperparameters and struggle with performance in online and continual learning scenarios, which require robust memory functions. This highlights a need for improved methodologies that can effectively address these challenges and enhance learning dynamics in memory-intensive tasks.",Self-supervised learning,inspiration,"Background: The existing self-supervised learning methods, such as SimSiam, exhibit high sensitivity to hyperparameters and struggle with performance in online and continual learning scenarios, which require robust memory functions. This highlights a need for improved methodologies that can effectively address these challenges and enhance learning dynamics in memory-intensive tasks.
Contribution: 'Self-supervised learning' inspired by ",1,a hippocampal model based on the temporal prediction hypothesis,1-21912_a32c1662-4e4d-401d-aa48-74d095415ecb,a learnable model ensemble,self-supervised learning using SimSiam,self-adaptive learning,neuromodulation in biological neural networks,the concept of active forgetting in the brain
"The continuous emergence of new generative architectures necessitates the development of tools capable of functioning in open-set scenarios, as existing methods typically classify models within a closed set and do not account for samples from unknown architectures. This gap highlights the need for effective attribution methods that can handle the complexities of synthetic image origins in a rapidly evolving AI landscape.",design a classifier with rejection option,inspiration,"Background: The continuous emergence of new generative architectures necessitates the development of tools capable of functioning in open-set scenarios, as existing methods typically classify models within a closed set and do not account for samples from unknown architectures. This gap highlights the need for effective attribution methods that can handle the complexities of synthetic image origins in a rapidly evolving AI landscape.
Contribution: 'design a classifier with rejection option' inspired by ",2,the concept of backdoor attacks,2-33290_9207e00d-45e1-4691-a665-9ac845efebda,a neural rendering module,AI image generation,cutting-edge generative AI models,statistical learning theory,a favorable yet challenging property for deep neural networks: Out-of-distribution generalization
"Existing approaches to active voltage control often overlook the constrained optimization nature of the problem, which can lead to failures in guaranteeing safety constraints. This highlights a need for methodologies that can effectively address these constraints while improving voltage quality and relieving power congestion in power networks.",Active voltage control,inspiration,"Background: Existing approaches to active voltage control often overlook the constrained optimization nature of the problem, which can lead to failures in guaranteeing safety constraints. This highlights a need for methodologies that can effectively address these constraints while improving voltage quality and relieving power congestion in power networks.
Contribution: 'Active voltage control' inspired by ",2,a constrained Markov game,2-19099_2f6b42be-b12e-4cd2-9c17-94fd98f02bc3,traditional retrievers,admittance control as the underlying algorithm to ensure flexibility,smart power grids,model predictive control,a constrained distributed optimization problem
"Prior work on retrieval-augmented generation models has relied on simplifying assumptions of marginalization and document independence, which may limit their effectiveness. There is a need for improved optimization methods that can address these limitations and enhance performance across diverse tasks.",the retrieval process in retrieval-augmented generation,inspiration,"Background: Prior work on retrieval-augmented generation models has relied on simplifying assumptions of marginalization and document independence, which may limit their effectiveness. There is a need for improved optimization methods that can address these limitations and enhance performance across diverse tasks.
Contribution: 'the retrieval process in retrieval-augmented generation' inspired by ",2,a stochastic sampling without replacement process,2-26059_087e9d03-6d5b-403f-93d4-5958c9ebb3fa,the exponential tilting,Retrieval Augmented Generation,domain-based Retrieval-Augmented Generation (RAG),information retrieval systems,a dense vector retrieval problem
"Current video summarization methods rely heavily on supervised techniques that require time-consuming and subjective manual annotations, highlighting a significant limitation in the field. There is a need for more efficient approaches that can overcome these challenges and enhance the effectiveness of video summarization.",video summarization,inspiration,"Background: Current video summarization methods rely heavily on supervised techniques that require time-consuming and subjective manual annotations, highlighting a significant limitation in the field. There is a need for more efficient approaches that can overcome these challenges and enhance the effectiveness of video summarization.
Contribution: 'video summarization' inspired by ",1,a Natural Language Processing task,1-1270_1109e596-1a2a-4941-8faa-e0464daad3b2,a ground agent with an obfuscated view,the video summarization task,video annotations,unsupervised learning techniques,the video summarization task
