context,anchor,relation,query,k,positive,id,random,mpnet_zero,sciIE,gpt-4o,ours
"The automated detection of stakeholder roles within news content remains an underexplored domain, despite existing works focusing on salient entity extraction and political affiliations through social media data. Recognizing the various types of news stakeholders and their roles is crucial for a nuanced comprehension of news narratives.",stakeholder classification,inspiration,"Background: The automated detection of stakeholder roles within news content remains an underexplored domain, despite existing works focusing on salient entity extraction and political affiliations through social media data. Recognizing the various types of news stakeholders and their roles is crucial for a nuanced comprehension of news narratives.
Contribution: 'stakeholder classification' inspired by ",1,a natural language inference task,1-5354_99c25e0f-0e43-4381-b22e-afb3e9f3ded5,a more robust and efficient control mechanism for autonomous manipulation in robot arms,detecting specific instances of agenda control through social media,Complex news events,ontology-based frameworks,a named entity recognition problem
"The need for effective dimension reduction techniques is highlighted by the challenges posed by high-dimensional data, which necessitates discovering low rank approximations to preserve the local structure of the data. Additionally, the superiority of low dimensional embeddings over original data underscores the importance of developing models that can efficiently handle these complexities while ensuring non-negativity constraints.",Few-shot Learning,inspiration,"Background: The need for effective dimension reduction techniques is highlighted by the challenges posed by high-dimensional data, which necessitates discovering low rank approximations to preserve the local structure of the data. Additionally, the superiority of low dimensional embeddings over original data underscores the importance of developing models that can efficiently handle these complexities while ensuring non-negativity constraints.
Contribution: 'Few-shot Learning' inspired by ",1,Referring back to the original text in the course of hierarchical learning is a common human trait that ensures the right direction of learning,1-25207_55d2d3cd-f381-438e-8f9e-37abf3eb264c,"the ""Hint"" mechanism",recent work in few-shot learning,few-shot learning datasets,Bayesian inference,graph search in the low-dimensional subspace
"One of the primary challenges in brain tumor segmentation arises from the uncertainty of voxels close to tumor boundaries, which is not adequately addressed by conventional ground truth segmentation masks that use ""hard labels."" This limitation has influenced prior studies and highlights the need for improved methods that can effectively capture the uncertainty in tumor vicinity for better segmentation outcomes.",Brain tumor segmentation,inspiration,"Background: One of the primary challenges in brain tumor segmentation arises from the uncertainty of voxels close to tumor boundaries, which is not adequately addressed by conventional ground truth segmentation masks that use ""hard labels."" This limitation has influenced prior studies and highlights the need for improved methods that can effectively capture the uncertainty in tumor vicinity for better segmentation outcomes.
Contribution: 'Brain tumor segmentation' inspired by ",1,a voxel-level regression,1-26343_08d3b0cb-8ac4-4916-bd74-b5486942dd7d,a two-stage optimization problem,a limited set of voxel-level tumor annotations,uncertainty of segmentation boundaries,probabilistic graphical models,an inference problem under high uncertainties
"The high computational costs of existing neural rendering methods pose challenges for deployment in resource-constrained environments and real-time applications. Additionally, while alternative methods like 3D Gaussian Splatting offer rapid rendering speeds, they require substantial storage to maintain high-quality representations, indicating a need for more efficient approaches that reduce storage overhead while preserving image quality.",represent and approximate dense clusters of Gaussians with significantly fewer Gaussians,inspiration,"Background: The high computational costs of existing neural rendering methods pose challenges for deployment in resource-constrained environments and real-time applications. Additionally, while alternative methods like 3D Gaussian Splatting offer rapid rendering speeds, they require substantial storage to maintain high-quality representations, indicating a need for more efficient approaches that reduce storage overhead while preserving image quality.
Contribution: 'represent and approximate dense clusters of Gaussians with significantly fewer Gaussians' inspired by ",1,classical matrix and tensor factorization techniques,1-26769_5e2da40a-f21d-494a-9eb0-03dd24febab4,Environments Programmed in Code,recent progress in neural rendering,3D Gaussian Splatting scene representation,vector quantization,3D Gaussians that render images from any viewpoint through a splatting process
"Existing autoregressive decoding methods in large language models often lead to suboptimal token selection at chaotic points, which can significantly affect the quality of generated text. This highlights a need for improved decision-making processes during text generation to enhance overall model performance.",text generation,inspiration,"Background: Existing autoregressive decoding methods in large language models often lead to suboptimal token selection at chaotic points, which can significantly affect the quality of generated text. This highlights a need for improved decision-making processes during text generation to enhance overall model performance.
Contribution: 'text generation' inspired by ",2,the human decision-making process,2-89_7165d453-4adb-47d0-a27d-7544c6ab3133,replicating human-like cognitive processes in AI,"controllable text generation, a well-explored topic of natural language processing",text generation,reinforcement learning,an autoregressive sequence generation problem
"The limited sampling rate of conventional optical cameras makes it difficult to obtain sufficient focus cues during the focal sweep, highlighting a challenge in accurately estimating depth from focus. This limitation necessitates the exploration of alternative methods that can provide more temporal information for focus time acquisition.",Depth from Focus,inspiration,"Background: The limited sampling rate of conventional optical cameras makes it difficult to obtain sufficient focus cues during the focal sweep, highlighting a challenge in accurately estimating depth from focus. This limitation necessitates the exploration of alternative methods that can provide more temporal information for focus time acquisition.
Contribution: 'Depth from Focus' inspired by ",1,biological vision,1-2468_95f6afb3-ed84-44ee-821f-1090b5b88c5d,an interactive Formal Verification Environment with large language models,scale accuracy inherent in Depth from Focus methods,depth information of the scene,light field cameras,decomposition of a blurry image into multiple sharp images with spatial and temporal coherence
"The available human feedback in patent prosecution is limited, and the quality of generated patent text requires improvement. Additionally, there is a need for methods that can effectively utilize human feedback to enhance the usability of language models in this domain.",patent prosecution,inspiration,"Background: The available human feedback in patent prosecution is limited, and the quality of generated patent text requires improvement. Additionally, there is a need for methods that can effectively utilize human feedback to enhance the usability of language models in this domain.
Contribution: 'patent prosecution' inspired by ",2,a system of reinforcement learning from human feedback,2-10365_8e7726ec-b651-4be4-b038-702e4bd761fe,"an additional synchronized sparse point cloud (i.e., from a LiDAR) projected onto the image plane as a sparse depth map",natural language modeling,natural language text,active learning techniques,Reinforcement Learning with Human Feedback
"The performance of large language models (LLMs) is heavily dependent on the input prompt, and previous works on prompt optimization often require numeric scores to assess prompt quality, which are infeasible and unreliable when interacting with a black-box LLM. Instead, obtaining preference feedback from human users is significantly easier and more reliable, highlighting a need for methodologies that can optimize prompts using this type of feedback.",prompt optimization with human feedback,inspiration,"Background: The performance of large language models (LLMs) is heavily dependent on the input prompt, and previous works on prompt optimization often require numeric scores to assess prompt quality, which are infeasible and unreliable when interacting with a black-box LLM. Instead, obtaining preference feedback from human users is significantly easier and more reliable, highlighting a need for methodologies that can optimize prompts using this type of feedback.
Contribution: 'prompt optimization with human feedback' inspired by ",2,dueling bandits,2-13583_0d12bf33-27bd-4223-aa0e-b22768f270e6,Koopman operators,text prompting in Large Language Models,zero-shot prompting of large language models (LLMs),Reinforcement learning from human feedback (RLHF),natural language-preference elicitation
"Existing methods for monocular camera calibration often struggle to generalize across varied real-world scenarios and are limited by insufficient training data, highlighting a need for more robust and accurate estimation techniques. Additionally, the performance of these methods is constrained by specific assumptions that do not hold in diverse applications, indicating a gap in the current research.",the problem of estimating the four degrees of freedom (4-DoF) of camera intrinsic parameters,inspiration,"Background: Existing methods for monocular camera calibration often struggle to generalize across varied real-world scenarios and are limited by insufficient training data, highlighting a need for more robust and accurate estimation techniques. Additionally, the performance of these methods is constrained by specific assumptions that do not hold in diverse applications, indicating a gap in the current research.
Contribution: 'the problem of estimating the four degrees of freedom (4-DoF) of camera intrinsic parameters' inspired by ",1,a dense incident map generation task,1-16545_a7cdd3af-5713-4bfd-b479-ab1e0ac83afb,advanced reasoning and learning,monocular depth estimation,calibrated multi-view captures,deep learning techniques,a Concatenated Recursive Least Squares (C-RLS) task
"Identifying and including character identities in story descriptions is crucial for story understanding, yet previous work has largely overlooked this aspect, often generating captions with anonymized names. Additionally, there is a challenge in evaluating id-aware captioning due to the lack of a metric that captures subtle differences between person identities.",id-aware captioning,inspiration,"Background: Identifying and including character identities in story descriptions is crucial for story understanding, yet previous work has largely overlooked this aspect, often generating captions with anonymized names. Additionally, there is a challenge in evaluating id-aware captioning due to the lack of a metric that captures subtle differences between person identities.
Contribution: 'id-aware captioning' inspired by ",1,a fill-in-the-blanks task,1-31218_c9f2e1c5-fdb2-4296-b2ae-c6b3f8a2564f,sequential processing of generic low-level features,scene captioning,classic captioning metrics,named entity recognition,an End-to-End in-context ID prediction problem
