context,anchor,relation,query,k,positive,id,random,mpnet_zero,sciIE,gpt-4o,ours
"Adversarial patch attacks can severely impair the performance of object detection systems in UAVs, highlighting a critical need for effective defense mechanisms that can operate without prior exposure to such attacks. The challenge lies in maintaining the reliability of object detection while minimizing processing costs in dynamic environments.",adversarial patch defense,inspiration,"Background: Adversarial patch attacks can severely impair the performance of object detection systems in UAVs, highlighting a critical need for effective defense mechanisms that can operate without prior exposure to such attacks. The challenge lies in maintaining the reliability of object detection while minimizing processing costs in dynamic environments.
Contribution: 'adversarial patch defense' inspired by ",2,an occlusion removal task,2-18929_4a97d95f-209e-4338-aa6e-b2806b5df7b0,offline RL,"the Human Visual System, which utilizes spatial frequency channels to process visual signals, is immune to adversarial attacks",Physical adversarial patches,biological immune systems,randomized smoothing in defense strategies
"Traditional belief revision frameworks often fail to account for human cognitive patterns, as they rely on formal principles that may not reflect actual human reasoning. This gap highlights the need for a framework that aligns belief revision dynamics with the explanatory understanding that people seek when resolving inconsistencies.",Traditional belief revision frameworks,inspiration,"Background: Traditional belief revision frameworks often fail to account for human cognitive patterns, as they rely on formal principles that may not reflect actual human reasoning. This gap highlights the need for a framework that aligns belief revision dynamics with the explanatory understanding that people seek when resolving inconsistencies.
Contribution: 'Traditional belief revision frameworks' inspired by ",1,recent advances in human cognition,1-25793_bd592045-d884-47cd-ad3b-d4939e857bcc,a Dual Graph Attention Network to construct interactions between utterances,a dataset to test language models' (language models) belief revision ability when presented with new evidence,Human-Aware Belief Revision,formal logic systems,Miller's cognitive model of explanation
"Graph Neural Networks (GNNs) face significant computational challenges when applied to large-scale graphs, particularly due to the limitations of previous graph sparsification methods that rely on a single global sparsity setting and uniform pruning criteria. These methods fail to provide customized sparsification schemes that account for the complex local context of each node, highlighting a need for more effective approaches to optimize performance and reduce computational overhead.",Graph Neural Networks,inspiration,"Background: Graph Neural Networks (GNNs) face significant computational challenges when applied to large-scale graphs, particularly due to the limitations of previous graph sparsification methods that rely on a single global sparsity setting and uniform pruning criteria. These methods fail to provide customized sparsification schemes that account for the complex local context of each node, highlighting a need for more effective approaches to optimize performance and reduce computational overhead.
Contribution: 'Graph Neural Networks' inspired by ",2,Mixture-of-Experts,2-85_79ea45c3-09ae-40c5-8b5e-2f1dbd1a5f90,dual high-order regularizations,a graph neural network to encode complex graph information,graph neural network,hierarchical clustering,the pattern pruning on transformer
"Traditional medical decision systems struggle with processing large-scale heterogeneous medical data and providing highly personalized recommendations, highlighting a need for improved methods that can effectively analyze complex associations among various patient data types.",medical data,inspiration,"Background: Traditional medical decision systems struggle with processing large-scale heterogeneous medical data and providing highly personalized recommendations, highlighting a need for improved methods that can effectively analyze complex associations among various patient data types.
Contribution: 'medical data' inspired by ",1,a graph structure,1-2580_4cf24e98-2f2a-4a6a-b4cb-7712cb354f0f,an Exemplar Enhancement Module,large-scale observational patient data,medical data analysis,graph neural networks,a Medical Knowledge Graph
"The numerical solutions provided by existing methods for solving partial differential equations (PDEs) often lack precision and interpretability compared to symbolic solutions. Additionally, there is a challenge in fitting high-frequency and steeply changing functions, which current approaches struggle to address.",Solving partial differential equations in Euclidean space,inspiration,"Background: The numerical solutions provided by existing methods for solving partial differential equations (PDEs) often lack precision and interpretability compared to symbolic solutions. Additionally, there is a challenge in fitting high-frequency and steeply changing functions, which current approaches struggle to address.
Contribution: 'Solving partial differential equations in Euclidean space' inspired by ",2,deep learning,2-10572_5c49b0ab-b034-470e-a651-a626dc66a1f7,2D vision-and-text priors,explicit PDE-based approaches,PDE-based approaches,neural networks,the principles of Neural PDE solvers
"The integration of large language models (LLMs) into knowledge-based question answering (KBQA) presents challenges due to their high costs and lack of domain-specific knowledge during pre-training. Additionally, optimizing for both accuracy and cost in model selection is complex, as different models excel in various knowledge areas, making it laborious to determine the best fit for specific tasks.",Knowledge-based question answering,inspiration,"Background: The integration of large language models (LLMs) into knowledge-based question answering (KBQA) presents challenges due to their high costs and lack of domain-specific knowledge during pre-training. Additionally, optimizing for both accuracy and cost in model selection is complex, as different models excel in various knowledge areas, making it laborious to determine the best fit for specific tasks.
Contribution: 'Knowledge-based question answering' inspired by ",2,a tailored multi-armed bandit problem,2-977_358fa109-4aca-410a-adda-73a2ed2866ef,K-means clustering,improve the performance of Large Language Models on complex reasoning and planning tasks,large language model (LLM) responses,hybrid models combining LLMs with symbolic reasoning,multiple-choice question answering
"The complexity of medical image recognition is heightened by the presence of varied pathological indications, which poses significant challenges in multi-label classification, particularly with unseen labels. Existing methods often rely on manual prompt construction by expert radiologists and struggle with generalizability in fine-grained scenarios, highlighting the need for more efficient and adaptable approaches.",medical image recognition,inspiration,"Background: The complexity of medical image recognition is heightened by the presence of varied pathological indications, which poses significant challenges in multi-label classification, particularly with unseen labels. Existing methods often rely on manual prompt construction by expert radiologists and struggle with generalizability in fine-grained scenarios, highlighting the need for more efficient and adaptable approaches.
Contribution: 'medical image recognition' inspired by ",1,text generation in natural language processing,1-16286_486004d5-f250-476c-8346-a56ced165a62,3D hand poses at a high temporal resolution for fine-grained motion modeling,multi-label image classification,medical image classification,self-supervised learning,medical visual question answering (Med-VQA)
"The rendering of specular objects, such as shiny metals or glossy paints, poses significant challenges due to the need to accurately reproduce their glossy appearance and global illumination effects, including interreflection from surrounding objects. Existing methods have limitations in modeling high-frequency angular signals, which are critical for achieving realistic view synthesis in these complex scenarios.",angular domain,inspiration,"Background: The rendering of specular objects, such as shiny metals or glossy paints, poses significant challenges due to the need to accurately reproduce their glossy appearance and global illumination effects, including interreflection from surrounding objects. Existing methods have limitations in modeling high-frequency angular signals, which are critical for achieving realistic view synthesis in these complex scenarios.
Contribution: 'angular domain' inspired by ",1,feature-grid-based spatial encoding,1-25214_4540ec36-49bc-4f47-9c45-835265c72638,eigenanalysis of a covariance matrix evaluated on a training set,optical simulation including physically based rendering,optical modeling,wavelet transforms,the frequency domain
"Existing methods for early exiting in large language models require significant effort to train internal classifiers and can only achieve comparable performance at best, highlighting a need for more efficient approaches. Additionally, the high computational overhead associated with model inference presents a challenge that necessitates innovative solutions to accelerate inference while maintaining performance.",the early exiting problem,inspiration,"Background: Existing methods for early exiting in large language models require significant effort to train internal classifiers and can only achieve comparable performance at best, highlighting a need for more efficient approaches. Additionally, the high computational overhead associated with model inference presents a challenge that necessitates innovative solutions to accelerate inference while maintaining performance.
Contribution: 'the early exiting problem' inspired by ",1,a distribution prediction problem,1-7666_2a8784a6-8ba4-427a-83c8-f512ec6d752c,Vision-Language foundation models (VL-models),recent success of Large Language Models,few-shot capabilities of large language models,dynamic neural networks,a sequential decision-making problem
"The study addresses decision-aiding problems characterized by multiple objectives and uncertain states of the world, where no preferential information is available to construct importance parameters for the criteria. This context highlights the need for effective support in decision-making that considers the likelihoods of different states and their impact on citizens' choices.",decision-aiding problems that involve multiple objectives and uncertain states of the world,inspiration,"Background: The study addresses decision-aiding problems characterized by multiple objectives and uncertain states of the world, where no preferential information is available to construct importance parameters for the criteria. This context highlights the need for effective support in decision-making that considers the likelihoods of different states and their impact on citizens' choices.
Contribution: 'decision-aiding problems that involve multiple objectives and uncertain states of the world' inspired by ",2,the capability approach,2-14462_d2b41b7b-54ea-4c68-91eb-688e3b7d7d49,Chinese BERT's pre-training objectives,Multicriteria decision analysis methods,decision-making applications,robust optimization,the efficient hierarchical structure of human decision-making
