context,anchor,relation,query,k,positive,id,random,mpnet_zero,sciIE,gpt-4o,ours
"The quantification of emergence in large language models (LLMs) has proven challenging due to the lack of a measurable definition and the difficulties in interpreting statistical estimations based on model performances. Existing methods consume significant resources and may not accurately reflect the models' intrinsic emergence, highlighting a need for a more effective and interpretable approach to estimate emergence.","the ""intelligent"" behaviors of LLMs",inspiration,"Background: The quantification of emergence in large language models (LLMs) has proven challenging due to the lack of a measurable definition and the difficulties in interpreting statistical estimations based on model performances. Existing methods consume significant resources and may not accurately reflect the models' intrinsic emergence, highlighting a need for a more effective and interpretable approach to estimate emergence.
Contribution: 'the ""intelligent"" behaviors of LLMs' inspired by ",1,emergentism in dynamics,1-13716_8b0b1d3d-7343-4307-a2e2-1361c3f98b56,adapters and injectors interspersed between the layers of a frozen transformer encoder,the behavior of Large Language Models,Large-Language model (LLM),the human cognitive process,Mechanistic interpretability
"Current methods for scene text synthesis lack effective character-level guidance during training and struggle to adapt to diverse font styles, leading to issues such as character distortion, repetition, and absence, particularly in polystylistic scenarios. This highlights a need for improved training processes that can better handle these challenges and enhance the model's attention to character-level details.",Scene text synthesis,inspiration,"Background: Current methods for scene text synthesis lack effective character-level guidance during training and struggle to adapt to diverse font styles, leading to issues such as character distortion, repetition, and absence, particularly in polystylistic scenarios. This highlights a need for improved training processes that can better handle these challenges and enhance the model's attention to character-level details.
Contribution: 'Scene text synthesis' inspired by ",1,the diffusion training process,1-19608_6128316a-0c8c-4a77-a599-707f93b72316,external-knowledge-base re-ranking,text-to-image generation models,makeup-guided text-to-image generation,GANs with character-level attention,text style transfer
"The traditional approach to prototype learning in face recognition can lead to prototypes being misaligned with the class center due to the influence of hard samples, which negatively impacts overall model performance. This highlights the need for a more effective method to define and update prototypes that accurately reflect the class center and mitigate the adverse effects of hard samples during model training.",prototypes,inspiration,"Background: The traditional approach to prototype learning in face recognition can lead to prototypes being misaligned with the class center due to the influence of hard samples, which negatively impacts overall model performance. This highlights the need for a more effective method to define and update prototypes that accurately reflect the class center and mitigate the adverse effects of hard samples during model training.
Contribution: 'prototypes' inspired by ",2,the expectations of sample features in each class,2-16519_4c4a1ee3-2228-4eb8-b02e-ba380828d684,predicting confusing charges based on fact descriptions,prototype augmentation in deep feature space,distinguishable global face description,clustering algorithms,the expectations of sample features in each class
"The development of data-driven prognostics and health monitoring tools faces challenges due to limited and inconsistent data quality in industrial settings, which is critical for reliable model operation. Additionally, there is a need to effectively translate the expertise of maintenance personnel into a structured data model that captures the diversity of knowledge while enhancing the interpretability of predictions.",Machine Learning based prognostics and health monitoring (prognostics and health monitoring) tools,inspiration,"Background: The development of data-driven prognostics and health monitoring tools faces challenges due to limited and inconsistent data quality in industrial settings, which is critical for reliable model operation. Additionally, there is a need to effectively translate the expertise of maintenance personnel into a structured data model that captures the diversity of knowledge while enhancing the interpretability of predictions.
Contribution: 'Machine Learning based prognostics and health monitoring (prognostics and health monitoring) tools' inspired by ",2,the Failure Mode and Effects Analysis in its structured approach to the analysis of any technical system and the resulting standardized data model,2-18868_bc202bb3-e82e-4455-a419-327102dbb1c8,the explainability of case-based reasoning,the Failure Mode and Effects Analysis in its structured approach to the analysis of any technical system and the resulting standardized data model,real-world failure datasets,transfer learning,"Inspired by this, we investigate the role of medical knowledge in disease diagnosis through doctor-patient interaction"
"The development of conversational agents that can effectively perform complex tasks requires the integration of various capabilities such as memory, tool utilization, and expert consultation. Existing approaches may not adequately address the need for agents to reflect and learn from interactions, highlighting a gap in the ability to enhance performance in challenging environments like online shopping.",the construction of such an LLM agent,inspiration,"Background: The development of conversational agents that can effectively perform complex tasks requires the integration of various capabilities such as memory, tool utilization, and expert consultation. Existing approaches may not adequately address the need for agents to reflect and learn from interactions, highlighting a gap in the ability to enhance performance in challenging environments like online shopping.
Contribution: 'the construction of such an LLM agent' inspired by ",1,"a reinforcement learning problem, in which the LLM serves as the policy model",1-42261_53acfc59-4a5b-4a62-96c8-7689f659d481,the Rotation operation,conversational agents,conversational agents,cognitive architecture frameworks,how humans learn and build on their previous thoughts and actions
"The abstract highlights the need to understand the key factors behind the success of the Mamba model, particularly in comparison to the underperforming linear attention Transformer. It emphasizes the importance of analyzing the design distinctions that contribute to Mamba's efficiency in handling high-resolution inputs across various vision tasks.",Mamba,inspiration,"Background: The abstract highlights the need to understand the key factors behind the success of the Mamba model, particularly in comparison to the underperforming linear attention Transformer. It emphasizes the importance of analyzing the design distinctions that contribute to Mamba's efficiency in handling high-resolution inputs across various vision tasks.
Contribution: 'Mamba' inspired by ",2,a variant of linear attention Transformer,2-12048_19922721-5956-4906-a64d-ef7e3776cd80,experimental validation involving real robots,a variant of linear attention Transformer,Multi-scale Attention Head (MAH),biological neural networks,vision Mamba
"The abstract highlights the technical, legal, and design difficulties that hinder the implementation of multi-user conversational user interfaces (CUIs). It suggests a need for innovative approaches to improve group discussions and reduce the inefficiencies associated with poorly managed meetings.",LLM-based CUIs,inspiration,"Background: The abstract highlights the technical, legal, and design difficulties that hinder the implementation of multi-user conversational user interfaces (CUIs). It suggests a need for innovative approaches to improve group discussions and reduce the inefficiencies associated with poorly managed meetings.
Contribution: 'LLM-based CUIs' inspired by ",1,"the ways that people manage messy group discussions, such as parliamentary and consensus-based paradigms",1-12067_c726840e-df6e-43a0-a8b9-db20f1b3379f,a pin-based shape display,"a Textual Conversational Interface, powered by tool-augmented LLM",Textual Conversational Interface,collaborative filtering techniques,"the ways that people manage messy group discussions, such as parliamentary and consensus-based paradigms"
"Monocular 3D object detection often struggles with pervasive object occlusions, which complicate and degrade the prediction of object dimensions, depths, and orientations. There is a need for improved methods that can effectively handle occluded objects to enhance detection performance in both occluded and non-occluded scenarios.",Monocular 3D object detection,inspiration,"Background: Monocular 3D object detection often struggles with pervasive object occlusions, which complicate and degrade the prediction of object dimensions, depths, and orientations. There is a need for improved methods that can effectively handle occluded objects to enhance detection performance in both occluded and non-occluded scenarios.
Contribution: 'Monocular 3D object detection' inspired by ",2,Masked Autoencoders,2-1196_9d0e056b-4708-44c3-9f63-b074849b2536,3D editing,3D object detection,monocular 3D detector,occlusion-aware neural networks,"a visual system that is able to segment both the visible and occluded regions of objects, while discerning their occlusion order"
Existing Object-Centric Learning models often miss small objects during reconstruction due to their reliance on auto-encoding structures and specially designed inductive biases. This highlights a need for improved methods that can enhance the identification and perception of individual objects in complex visual scenes.,Object-Centric Learning,inspiration,"Background: Existing Object-Centric Learning models often miss small objects during reconstruction due to their reliance on auto-encoding structures and specially designed inductive biases. This highlights a need for improved methods that can enhance the identification and perception of individual objects in complex visual scenes.
Contribution: 'Object-Centric Learning' inspired by ",2,human vision corrects perception errors through a top-down visual pathway that returns to bottom-level neurons and acquires more detailed information,2-30520_787e40e9-ef85-4915-a8e1-785a4c371327,the degraded inputs,unsupervised object-centric learning,unsupervised object-centric learning,attention mechanisms,"a human cognition mechanism, object unity"
"Discrepancies often arise between model predictions and actual observations due to systematic biases, which can vary with model completeness. Classical model inversion methods tend to overlook these biases or make assumptions about their nature, potentially leading to implausible results.",model inversion,inspiration,"Background: Discrepancies often arise between model predictions and actual observations due to systematic biases, which can vary with model completeness. Classical model inversion methods tend to overlook these biases or make assumptions about their nature, potentially leading to implausible results.
Contribution: 'model inversion' inspired by ",1,recent work in inverse graphics,1-18640_112b45be-a782-44ac-904a-b0f36ccb6803,domain-specific Trees,an inverse model,model inversion methods,Bayesian inference,an optimization task aimed at adjusting observed prediction distributions to align with unbiased prediction distributions
