context,anchor,relation,query,k,positive,id,random,mpnet_zero,sciIE,gpt-4o,ours
"Large Vision-Language Models (LVLMs) face challenges in adapting to varying computational constraints, which necessitates flexibility in the number of visual tokens to suit different tasks and resources. The exploration of the trade-off between accuracy and computational cost related to the number of visual tokens highlights a significant research need in achieving optimal performance across diverse applications.",Flexible Vision-Language Modeling,inspiration,"Background: Large Vision-Language Models (LVLMs) face challenges in adapting to varying computational constraints, which necessitates flexibility in the number of visual tokens to suit different tasks and resources. The exploration of the trade-off between accuracy and computational cost related to the number of visual tokens highlights a significant research need in achieving optimal performance across diverse applications.
Contribution: 'Flexible Vision-Language Modeling' inspired by ",1,Matryoshka Representation Learning,1-5775_c99d8e49-bf5d-460a-8ae9-640e0b69cb8e,text representations generated via transformer-based language models,Large Vision-Language Models,Large Vision Language Models (LVLMs),dynamic neural networks,the subword tokenization widely adopted in language models
"Large Vision-Language Models (LVLMs) face challenges in adapting to varying computational constraints, which necessitates flexibility in the number of visual tokens to suit different tasks and resources. The exploration of the trade-off between accuracy and computational cost related to the number of visual tokens highlights a significant research need in achieving optimal performance across diverse applications.",Flexible Vision-Language Modeling,inspiration,"Background: Large Vision-Language Models (LVLMs) face challenges in adapting to varying computational constraints, which necessitates flexibility in the number of visual tokens to suit different tasks and resources. The exploration of the trade-off between accuracy and computational cost related to the number of visual tokens highlights a significant research need in achieving optimal performance across diverse applications.
Contribution: 'Flexible Vision-Language Modeling' inspired by ",2,Matryoshka Representation Learning,2-5775_c99d8e49-bf5d-460a-8ae9-640e0b69cb8e,graph neural networks and modularity based optimization criteria,Large Vision Language Model,large vision-language models (VLMs),dynamic neural networks,compression learning in natural language processing
"Fine-tuning large language models can be challenging, and existing methods may not effectively improve alignment without additional training. There is a need for compute-efficient strategies that enhance model performance while addressing the limitations of traditional tuning approaches.",framing the alignment of a large language model as a test-time greedy search,inspiration,"Background: Fine-tuning large language models can be challenging, and existing methods may not effectively improve alignment without additional training. There is a need for compute-efficient strategies that enhance model performance while addressing the limitations of traditional tuning approaches.
Contribution: 'framing the alignment of a large language model as a test-time greedy search' inspired by ",1,a test-time greedy search to maximize the log-likelihood difference between small tuned and untuned models while sampling from the frozen large model,1-34631_9bd9fc9f-a6b9-4f59-b02f-75c3b828f350,Field boundary delineation,alignment in tuning large language models,fine-tuned large language models (LLMs),Monte Carlo Tree Search,a heuristic search problem
"Fine-tuning large language models can be challenging, and existing methods may not effectively improve alignment without additional training. There is a need for compute-efficient strategies that enhance model performance while addressing the limitations of traditional tuning approaches.",framing the alignment of a large language model as a test-time greedy search,inspiration,"Background: Fine-tuning large language models can be challenging, and existing methods may not effectively improve alignment without additional training. There is a need for compute-efficient strategies that enhance model performance while addressing the limitations of traditional tuning approaches.
Contribution: 'framing the alignment of a large language model as a test-time greedy search' inspired by ",2,a test-time greedy search to maximize the log-likelihood difference between small tuned and untuned models while sampling from the frozen large model,2-34631_9bd9fc9f-a6b9-4f59-b02f-75c3b828f350,how human surgeons build their expertise,recent advances in efficiently tuning large language models,fine-tuned language models,Monte Carlo Tree Search,a search problem
"Traditional belief revision frameworks often fail to account for human cognitive patterns, as they rely on formal principles that may not reflect actual human reasoning. This gap highlights the need for a framework that aligns belief revision dynamics with the explanatory understanding that people seek when resolving inconsistencies.",Traditional belief revision frameworks,inspiration,"Background: Traditional belief revision frameworks often fail to account for human cognitive patterns, as they rely on formal principles that may not reflect actual human reasoning. This gap highlights the need for a framework that aligns belief revision dynamics with the explanatory understanding that people seek when resolving inconsistencies.
Contribution: 'Traditional belief revision frameworks' inspired by ",1,recent advances in human cognition,1-25793_bd592045-d884-47cd-ad3b-d4939e857bcc,a Dual Graph Attention Network to construct interactions between utterances,a dataset to test language models' (language models) belief revision ability when presented with new evidence,Human-Aware Belief Revision,formal logic systems,Miller's cognitive model of explanation
"Traditional belief revision frameworks often fail to account for human cognitive patterns, as they rely on formal principles that may not reflect actual human reasoning. This gap highlights the need for a framework that aligns belief revision dynamics with the explanatory understanding that people seek when resolving inconsistencies.",Traditional belief revision frameworks,inspiration,"Background: Traditional belief revision frameworks often fail to account for human cognitive patterns, as they rely on formal principles that may not reflect actual human reasoning. This gap highlights the need for a framework that aligns belief revision dynamics with the explanatory understanding that people seek when resolving inconsistencies.
Contribution: 'Traditional belief revision frameworks' inspired by ",2,recent advances in human cognition,2-25793_bd592045-d884-47cd-ad3b-d4939e857bcc,causal inference,Belief Change,belief updating,formal logic systems,a form of cognitive-behavioral therapy that aims to help individuals cope with stress by developing a system of reasoning
"Adversarial patch attacks can severely impair the performance of object detection systems in UAVs, highlighting a critical need for effective defense mechanisms that can operate without prior exposure to such attacks. The challenge lies in maintaining the reliability of object detection while minimizing processing costs in dynamic environments.",adversarial patch defense,inspiration,"Background: Adversarial patch attacks can severely impair the performance of object detection systems in UAVs, highlighting a critical need for effective defense mechanisms that can operate without prior exposure to such attacks. The challenge lies in maintaining the reliability of object detection while minimizing processing costs in dynamic environments.
Contribution: 'adversarial patch defense' inspired by ",1,an occlusion removal task,1-18929_4a97d95f-209e-4338-aa6e-b2806b5df7b0,head motion parameters,a proactive defensive strategy that actively contextualizes environmental information to address misaligned adversarial patches in 3D real-world settings,patch-based adversarial attacks,biological immune systems,the controllable attack generation problem
"Adversarial patch attacks can severely impair the performance of object detection systems in UAVs, highlighting a critical need for effective defense mechanisms that can operate without prior exposure to such attacks. The challenge lies in maintaining the reliability of object detection while minimizing processing costs in dynamic environments.",adversarial patch defense,inspiration,"Background: Adversarial patch attacks can severely impair the performance of object detection systems in UAVs, highlighting a critical need for effective defense mechanisms that can operate without prior exposure to such attacks. The challenge lies in maintaining the reliability of object detection while minimizing processing costs in dynamic environments.
Contribution: 'adversarial patch defense' inspired by ",2,an occlusion removal task,2-18929_4a97d95f-209e-4338-aa6e-b2806b5df7b0,offline RL,"the Human Visual System, which utilizes spatial frequency channels to process visual signals, is immune to adversarial attacks",Physical adversarial patches,biological immune systems,randomized smoothing in defense strategies
"Discrepancies often arise between model predictions and actual observations due to systematic biases, which can vary with model completeness. Classical model inversion methods tend to overlook these biases or make assumptions about their nature, potentially leading to implausible results.",model inversion,inspiration,"Background: Discrepancies often arise between model predictions and actual observations due to systematic biases, which can vary with model completeness. Classical model inversion methods tend to overlook these biases or make assumptions about their nature, potentially leading to implausible results.
Contribution: 'model inversion' inspired by ",1,recent work in inverse graphics,1-18640_112b45be-a782-44ac-904a-b0f36ccb6803,domain-specific Trees,an inverse model,model inversion methods,Bayesian inference,an optimization task aimed at adjusting observed prediction distributions to align with unbiased prediction distributions
"Discrepancies often arise between model predictions and actual observations due to systematic biases, which can vary with model completeness. Classical model inversion methods tend to overlook these biases or make assumptions about their nature, potentially leading to implausible results.",model inversion,inspiration,"Background: Discrepancies often arise between model predictions and actual observations due to systematic biases, which can vary with model completeness. Classical model inversion methods tend to overlook these biases or make assumptions about their nature, potentially leading to implausible results.
Contribution: 'model inversion' inspired by ",2,recent work in inverse graphics,2-18640_112b45be-a782-44ac-904a-b0f36ccb6803,assessing self-recognition in language models,"conformal prediction, a widely recognized statistical technique for quantifying uncertainty by transforming predictive model outputs into prediction sets",Classical model inversion methods,Bayesian inference,the problem of model bias
