context,anchor,relation,query,k,positive,id,arxiv_categories,is_cross_domain,random,mpnet_zero,sciIE,gpt-4o,ours
"Large Vision-Language Models (LVLMs) face challenges in adapting to varying computational constraints, which necessitates flexibility in the number of visual tokens to suit different tasks and resources. The exploration of the trade-off between accuracy and computational cost related to the number of visual tokens highlights a significant research need in achieving optimal performance across diverse applications.",Flexible Vision-Language Modeling,inspiration,"Background: Large Vision-Language Models (LVLMs) face challenges in adapting to varying computational constraints, which necessitates flexibility in the number of visual tokens to suit different tasks and resources. The exploration of the trade-off between accuracy and computational cost related to the number of visual tokens highlights a significant research need in achieving optimal performance across diverse applications.
Contribution: 'Flexible Vision-Language Modeling' inspired by ",1,Matryoshka Representation Learning,1-5775_c99d8e49-bf5d-460a-8ae9-640e0b69cb8e,"['cs.cv', ' cs.cl', ' cs.lg']",True,text representations generated via transformer-based language models,Large Vision-Language Models,Large Vision Language Models (LVLMs),dynamic neural networks,the subword tokenization widely adopted in language models
"Fine-tuning large language models can be challenging, and existing methods may not effectively improve alignment without additional training. There is a need for compute-efficient strategies that enhance model performance while addressing the limitations of traditional tuning approaches.",framing the alignment of a large language model as a test-time greedy search,inspiration,"Background: Fine-tuning large language models can be challenging, and existing methods may not effectively improve alignment without additional training. There is a need for compute-efficient strategies that enhance model performance while addressing the limitations of traditional tuning approaches.
Contribution: 'framing the alignment of a large language model as a test-time greedy search' inspired by ",1,a test-time greedy search to maximize the log-likelihood difference between small tuned and untuned models while sampling from the frozen large model,1-34631_9bd9fc9f-a6b9-4f59-b02f-75c3b828f350,"['cs.cl', ' cs.ai', ' cs.lg']",False,Field boundary delineation,alignment in tuning large language models,fine-tuned large language models (LLMs),Monte Carlo Tree Search,a heuristic search problem
"Traditional belief revision frameworks often fail to account for human cognitive patterns, as they rely on formal principles that may not reflect actual human reasoning. This gap highlights the need for a framework that aligns belief revision dynamics with the explanatory understanding that people seek when resolving inconsistencies.",Traditional belief revision frameworks,inspiration,"Background: Traditional belief revision frameworks often fail to account for human cognitive patterns, as they rely on formal principles that may not reflect actual human reasoning. This gap highlights the need for a framework that aligns belief revision dynamics with the explanatory understanding that people seek when resolving inconsistencies.
Contribution: 'Traditional belief revision frameworks' inspired by ",1,recent advances in human cognition,1-25793_bd592045-d884-47cd-ad3b-d4939e857bcc,['cs.ai'],True,a Dual Graph Attention Network to construct interactions between utterances,a dataset to test language models' (language models) belief revision ability when presented with new evidence,Human-Aware Belief Revision,AGM theory,Miller's cognitive model of explanation
"Adversarial patch attacks can severely impair the performance of object detection systems in UAVs, highlighting a critical need for effective defense mechanisms that can operate without prior exposure to such attacks. The challenge lies in maintaining the reliability of object detection while minimizing processing costs in dynamic environments.",adversarial patch defense,inspiration,"Background: Adversarial patch attacks can severely impair the performance of object detection systems in UAVs, highlighting a critical need for effective defense mechanisms that can operate without prior exposure to such attacks. The challenge lies in maintaining the reliability of object detection while minimizing processing costs in dynamic environments.
Contribution: 'adversarial patch defense' inspired by ",1,an occlusion removal task,1-18929_4a97d95f-209e-4338-aa6e-b2806b5df7b0,"['cs.cv', ' cs.ro']",False,head motion parameters,a proactive defensive strategy that actively contextualizes environmental information to address misaligned adversarial patches in 3D real-world settings,patch-based adversarial attacks,biological immune systems,the controllable attack generation problem
"Discrepancies often arise between model predictions and actual observations due to systematic biases, which can vary with model completeness. Classical model inversion methods tend to overlook these biases or make assumptions about their nature, potentially leading to implausible results.",model inversion,inspiration,"Background: Discrepancies often arise between model predictions and actual observations due to systematic biases, which can vary with model completeness. Classical model inversion methods tend to overlook these biases or make assumptions about their nature, potentially leading to implausible results.
Contribution: 'model inversion' inspired by ",1,recent work in inverse graphics,1-18640_112b45be-a782-44ac-904a-b0f36ccb6803,['cs.lg'],True,domain-specific Trees,an inverse model,model inversion methods,Bayesian inference,an optimization task aimed at adjusting observed prediction distributions to align with unbiased prediction distributions
"Human Mesh Recovery from a single RGB image is a highly ambiguous problem, as similar 2D projections can correspond to multiple 3D interpretations. Most existing methods overlook this ambiguity and make a single prediction without accounting for the associated uncertainty, highlighting a need for approaches that can generate multiple predictions and evaluate the uncertainty of the outputs.",Human Mesh Recovery from a single RGB image,inspiration,"Background: Human Mesh Recovery from a single RGB image is a highly ambiguous problem, as similar 2D projections can correspond to multiple 3D interpretations. Most existing methods overlook this ambiguity and make a single prediction without accounting for the associated uncertainty, highlighting a need for approaches that can generate multiple predictions and evaluate the uncertainty of the outputs.
Contribution: 'Human Mesh Recovery from a single RGB image' inspired by ",1,generating a sequence of discrete tokens conditioned on an input image,1-36490_fd87b47d-a60d-4482-8fcd-116af5bbe0ce,['cs.cv'],False,"a cognitive-inspired mechanism that fuses inputs from multiple sources into a memory-like structure, improving the storing capacity and extracting more intrinsic and correlated information",3D human reconstruction from a single RGB image,3D human reconstruction tasks,probabilistic graphical models,an inference problem under high uncertainties
Previous Vision-Language Navigation agents struggle with accurate modality alignment in unexplored scenes due to limited navigation data and insufficient open-world alignment knowledge. This highlights a need for improved methods that can effectively discover and utilize landmarks in diverse visual observations to enhance navigation performance.,Vision-Language Navigation,inspiration,"Background: Previous Vision-Language Navigation agents struggle with accurate modality alignment in unexplored scenes due to limited navigation data and insufficient open-world alignment knowledge. This highlights a need for improved methods that can effectively discover and utilize landmarks in diverse visual observations to enhance navigation performance.
Contribution: 'Vision-Language Navigation' inspired by ",1,an open-world sequential landmark discovery problem,1-11627_6ba48953-1382-4930-aa08-b68d70593f45,"['cs.cv', ' cs.ai', ' cs.cl']",True,novel controlling signals within the framework of ControlNet,Vision-Language Navigation agents,Vision-language navigation (VLN),cognitive mapping in animals,"Human navigation is facilitated through the association of actions with landmarks, tapping into our ability to recognize salient features in our environment"
"The study addresses the challenges of local and global consistency in sketch colourisation, as well as the limitations of manual colour assignments and textual prompts. It also highlights the need for a method that balances precision and convenience while being fast and training-free for practical use in creative applications.",a novel approach to sketch colourisation,inspiration,"Background: The study addresses the challenges of local and global consistency in sketch colourisation, as well as the limitations of manual colour assignments and textual prompts. It also highlights the need for a method that balances precision and convenience while being fast and training-free for practical use in creative applications.
Contribution: 'a novel approach to sketch colourisation' inspired by ",1,the universal childhood activity of colouring and its professional applications in design and story-boarding,1-38011_96c60d17-992d-467e-80c9-2358298ece9c,['cs.cv'],False,the ventral and dorsal streams in our human brain,the sketch analysis task,human sketch understanding,diffusion models,recent diffusion based image editing techniques
"Generating realistic images from arbitrary views based on a single source image presents significant challenges, particularly with inconsistencies and implausibility in new view generation, especially under challenging viewpoint changes. Existing models struggle to maintain geometric consistency and authenticity without requiring extensive retraining or computational resources.",the denoising process,inspiration,"Background: Generating realistic images from arbitrary views based on a single source image presents significant challenges, particularly with inconsistencies and implausibility in new view generation, especially under challenging viewpoint changes. Existing models struggle to maintain geometric consistency and authenticity without requiring extensive retraining or computational resources.
Contribution: 'the denoising process' inspired by ",1,stochastic gradient descent,1-2027_6a80bc42-086f-4d58-93ae-46aab7bec0dd,['cs.cv'],False,a Prototype-Calibration module,an image denoising task,"relationships, and then incrementally diffused to reach a Gaussian distribution.We propose a 3D denoising scene transformer",diffusion models,a denoising diffusion process
"Existing model-agnostic explanation methods require slow inference due to additional queries to the model, while model-dependent explanations achieve fast inference at the cost of general applicability. This creates a need for a solution that balances efficiency and universality in providing explanations for model predictions.",explanations,inspiration,"Background: Existing model-agnostic explanation methods require slow inference due to additional queries to the model, while model-dependent explanations achieve fast inference at the cost of general applicability. This creates a need for a solution that balances efficiency and universality in providing explanations for model predictions.
Contribution: 'explanations' inspired by ",1,a set of human-comprehensible concepts,1-13644_1aed92de-56a3-468e-824f-22d78775c838,"['cs.lg', ' cs.ai']",True,radars in Bird's Eye View,model-centric global explanations,local interpretable model-agnostic explanation technique,human cognitive processes,human explanations
"The auto-regressive decoding of Large Language Models (LLMs) results in significant overheads in hardware performance, particularly in terms of memory consumption and training cost, which are often overlooked in existing speculative decoding techniques. Additionally, there is a need to recover conditional dependency information for multi-token generation to improve acceptance rates for long-range predictions.",Large Language Models,inspiration,"Background: The auto-regressive decoding of Large Language Models (LLMs) results in significant overheads in hardware performance, particularly in terms of memory consumption and training cost, which are often overlooked in existing speculative decoding techniques. Additionally, there is a need to recover conditional dependency information for multi-token generation to improve acceptance rates for long-range predictions.
Contribution: 'Large Language Models' inspired by ",1,the human natural language generation process,1-38796_a6183606-5827-4750-892f-2505069e3051,"['cs.lg', ' cs.cl']",False,context has been well studied for learning representations,Decoder-only Large Language Models,decoder-only large language models (LLMs),attention mechanisms,recent work that predicts the probabilities of subsequent tokens using multiple heads
"There is a lack of principled understanding regarding the design of frames in the context of achieving symmetries in neural networks. Existing methods do not fully explore the connection between frames and canonical forms, which limits the ability to compare frame complexity and determine optimality effectively.",neural networks,inspiration,"Background: There is a lack of principled understanding regarding the design of frames in the context of achieving symmetries in neural networks. Existing methods do not fully explore the connection between frames and canonical forms, which limits the ability to compare frame complexity and determine optimality effectively.
Contribution: 'neural networks' inspired by ",1,canonization is a classic approach for attaining invariance by mapping inputs to their canonical forms,1-16943_93f8fa68-722c-48aa-b829-040eeeb23674,['cs.lg'],True,a dual-channel encoder,equivariant neural networks,SIM(3)-equivariant neural network architectures,group theory,canonization is a classic approach for attaining invariance by mapping inputs to their canonical forms
"Current multi-modal large language models face challenges in detailed multi-modal understanding, complex task comprehension, and reasoning over multi-modal information. There is a need for improved performance in complex visual reasoning tasks, as existing models have inherent limitations in these areas.",Multi-modal Critical Thinking Agent,inspiration,"Background: Current multi-modal large language models face challenges in detailed multi-modal understanding, complex task comprehension, and reasoning over multi-modal information. There is a need for improved performance in complex visual reasoning tasks, as existing models have inherent limitations in these areas.
Contribution: 'Multi-modal Critical Thinking Agent' inspired by ",1,human cognitive processes and critical thinking,1-30926_f4c8741d-3ec3-4fca-90a5-266ce3ec1bea,"['cs.cl', ' cs.ai', ' cs.cv', ' cs.lg']",True,Debiasing,the visual-centric reasoning module empowered by Multi-modal Large Language Model,multi-modal critical thinking agent framework,cognitive neuroscience,human cognitive processes and critical thinking
"Ensuring safety in multi-agent reinforcement learning (MARL) for real-world applications, such as autonomous driving, is a critical challenge due to the inadequacies of traditional safe MARL methods, which often fail to model other agents and lack convergence guarantees in dynamically complex environments. This highlights the need for improved methodologies that can effectively address safety risks while ensuring reliable decision-making in such scenarios.",Safe MARL,inspiration,"Background: Ensuring safety in multi-agent reinforcement learning (MARL) for real-world applications, such as autonomous driving, is a critical challenge due to the inadequacies of traditional safe MARL methods, which often fail to model other agents and lack convergence guarantees in dynamically complex environments. This highlights the need for improved methodologies that can effectively address safety risks while ensuring reliable decision-making in such scenarios.
Contribution: 'Safe MARL' inspired by ",1,a Stackelberg model with bi-level optimization,1-19294_a23b3934-90e7-49b0-9c6d-40349df0c261,"['cs.ro', ' cs.lg']",False,2D texture,multi-agent reinforcement learning(MARL),safe reinforcement learning algorithms,game theory,"AI ""safety"" and ""alignment"""
"The implicit policy-finding problem remains unresolved in the context of implicit Q-learning, leading to uncertainty about how to recover the implicit policy from the learned implicit Q-function. Existing methods, such as IDQL, have limitations in their applicability, particularly in maintaining optimal value function weights for policy extraction.",the implicit policy-finding problem,inspiration,"Background: The implicit policy-finding problem remains unresolved in the context of implicit Q-learning, leading to uncertainty about how to recover the implicit policy from the learned implicit Q-function. Existing methods, such as IDQL, have limitations in their applicability, particularly in maintaining optimal value function weights for policy extraction.
Contribution: 'the implicit policy-finding problem' inspired by ",1,an optimization problem,1-4849_054fb070-39e4-446b-b8f9-3bfff59d6aa5,['cs.lg'],True,model training phase,Q-learning,soft Q-learning,inverse reinforcement learning,a regret minimization problem
"The increasing demand for dynamic 3D assets in design and gaming applications has highlighted the limitations of previous methods, which often result in defects such as over-saturation and the Janus problem. Additionally, practical challenges like dramatic temporal inconsistency, inter-frame geometry and texture diversity, and semantic defects in video generation results necessitate the development of more effective solutions.",optimize a 4D representation by explicitly generating multi-view videos from one input image,inspiration,"Background: The increasing demand for dynamic 3D assets in design and gaming applications has highlighted the limitations of previous methods, which often result in defects such as over-saturation and the Janus problem. Additionally, practical challenges like dramatic temporal inconsistency, inter-frame geometry and texture diversity, and semantic defects in video generation results necessitate the development of more effective solutions.
Contribution: 'optimize a 4D representation by explicitly generating multi-view videos from one input image' inspired by ",1,recent progress of video diffusion models,1-773_4ff647e6-3a35-409f-b617-b2d4cad0e4ef,['cs.cv'],False,Question answering over heterogeneous data,generate high-quality 4D object from a monocular video,data-driven video generation process,neural radiance fields (NeRF),elevate cinemagraph from 2D image space to 3D space
"The challenge of effectively learning inter-series correlations for multivariate time series forecasting remains a substantial and unresolved problem, as traditional deep learning models often fail to integrate information from multiple time series into a coherent and universally applicable model. This highlights a significant gap in existing methodologies that necessitates a novel approach to capture the intricate temporal dynamics and inter-series correlations.",multivariate time series forecasting,inspiration,"Background: The challenge of effectively learning inter-series correlations for multivariate time series forecasting remains a substantial and unresolved problem, as traditional deep learning models often fail to integrate information from multiple time series into a coherent and universally applicable model. This highlights a significant gap in existing methodologies that necessitates a novel approach to capture the intricate temporal dynamics and inter-series correlations.
Contribution: 'multivariate time series forecasting' inspired by ",1,a node regression task,1-28389_917ea594-82d1-46d4-9eb4-91567f0882aa,['cs.lg'],True,a programming language that can be compiled to Transformer weights,the task of multivariate time series forecasting,ultra-lightweight multivariate time series forecasting model,graph neural networks,one of linear hyperdimensional time-series forecasting
"The research addresses the challenge of enabling modular robots to self-organize and maintain specific morphologies and functions through simple interactions, which is essential for their effective operation in various applications. Additionally, it highlights the need for algorithms that can facilitate the aggregation and movement of these robots while preserving their collective shape and functionality.",Swarm robots,inspiration,"Background: The research addresses the challenge of enabling modular robots to self-organize and maintain specific morphologies and functions through simple interactions, which is essential for their effective operation in various applications. Additionally, it highlights the need for algorithms that can facilitate the aggregation and movement of these robots while preserving their collective shape and functionality.
Contribution: 'Swarm robots' inspired by ",1,the emergence of animal herds,1-37161_bd21f811-3aec-41a2-a51d-cca61339ccee,['cs.ro'],True,body shape information which is cloth-invariant using a Relation Graph Attention Network,robot swarms,swarm robots,ant colonies,"the flocking and collective navigation behavior observed in natural swarms, such as cattle herds, bird flocks, and even large groups of humans"
"Previous approaches to synthesizing multi-relational data have limitations in scalability for larger datasets and in capturing long-range dependencies, such as correlations between attributes across different tables. This highlights a need for improved methods that can effectively address these challenges in multi-table data synthesis.",tabular data synthesis,inspiration,"Background: Previous approaches to synthesizing multi-relational data have limitations in scalability for larger datasets and in capturing long-range dependencies, such as correlations between attributes across different tables. This highlights a need for improved methods that can effectively address these challenges in multi-table data synthesis.
Contribution: 'tabular data synthesis' inspired by ",1,diffusion models,1-5369_ac1896f1-ea1d-4a52-9dcc-a553715ab9d9,['cs.ai'],False,Spatio-Temporal Graph Convolutional Network,data-synthesis,data synthesis,graph neural networks,a table generation task
"Unsupervised domain adaptation for monocular depth estimation has been explored to reduce reliance on large annotated datasets, but this often requires training multiple models or complex protocols. The need for a simpler and more effective approach that can operate with only source domain ground truth labels is evident, as demonstrated by the challenges faced in prior work.",unsupervised domain adaptation for monocular depth estimation,inspiration,"Background: Unsupervised domain adaptation for monocular depth estimation has been explored to reduce reliance on large annotated datasets, but this often requires training multiple models or complex protocols. The need for a simpler and more effective approach that can operate with only source domain ground truth labels is evident, as demonstrated by the challenges faced in prior work.
Contribution: 'unsupervised domain adaptation for monocular depth estimation' inspired by ",1,a consistency-based semi-supervised learning problem,1-21426_67fc75b7-c12d-46c5-988a-a2dbf34a332a,['cs.cv'],True,the neural ODE approach,unsupervised domain adaptation,monocular depth estimation network,contrastive learning,an unsupervised domain adaptation problem
"Previous studies in multi-modal learning have primarily focused on either inter-modality or intra-modality dependencies in isolation, which may not provide optimal results. This highlights a gap in the existing approaches that do not adequately capture the interactions between different modalities and their relationships to the target label.",Supervised multi-modal learning,inspiration,"Background: Previous studies in multi-modal learning have primarily focused on either inter-modality or intra-modality dependencies in isolation, which may not provide optimal results. This highlights a gap in the existing approaches that do not adequately capture the interactions between different modalities and their relationships to the target label.
Contribution: 'Supervised multi-modal learning' inspired by ",1,generative models,1-292_71d8b1de-8d5c-491c-ac24-cdfc8d80baee,"['cs.cv', ' cs.cl', ' cs.lg']",True,model-,multi-modal learning,multi-modality learning,graph neural networks,a Weakly Supervised Cross-modality Contrastive Learning problem
"Existing methods for open-vocabulary querying often rely on a manually set fixed empirical threshold to select regions based on their semantic feature distance to the query text embedding, which can lead to challenges in accurately identifying specific target areas. This traditional approach frequently lacks universal accuracy, highlighting the need for a more precise method of feature selection that can improve the localization of pertinent 3D regions.",the feature selection process,inspiration,"Background: Existing methods for open-vocabulary querying often rely on a manually set fixed empirical threshold to select regions based on their semantic feature distance to the query text embedding, which can lead to challenges in accurately identifying specific target areas. This traditional approach frequently lacks universal accuracy, highlighting the need for a more precise method of feature selection that can improve the localization of pertinent 3D regions.
Contribution: 'the feature selection process' inspired by ",1,a hyperplane division within the feature space,1-19604_a4a8cbb9-40a8-436e-ab20-af2b9214099a,['cs.cv'],False,3D occupancy prediction,open-vocabulary detectors,open-vocabulary querying,attention mechanisms,a one-step Markov decision process
